,id,key,badges,banned,bio,blocked,comments,datatype,followed,user_followers,user_following,following,human,integration,isFollowingYou,joined,lastseents,likes,media,muted,pendingFollow,posts,private,profilePhoto,rss,state,userid,username,verified,verifiedComments,username_length,error_code,error_desc,error_details
57,02db7c55ece9499eac17d6f5d9089c19,02db7c55ece9499eac17d6f5d9089c19,[0],False,"I hope people aren’t as dumb as the dems think you are. I don’t give 2 shits about the color of anyone’s skin. Pedofiles need to be extincted, no exceptions. Proud Boy in NC. That’s my baby 50bmg ����",False,74.0,user_profile,False,879.0,722.0,722.0,True,False,False,5/27/20 22:51,2020-12-20 20:13:34.090932 UTC,209.0,19.0,False,False,969.0,False,0066399ea7f64c609ba520602b9e3af2,False,,02db7c55ece9499eac17d6f5d9089c19,BookemDano,False,False,10,200,account exists,
58,3450cafa8a9e46f99c2ceb964e24d26f,3450cafa8a9e46f99c2ceb964e24d26f,[],False,"A DEPLORABLE! GOD, FAMILY AND COUNTRY! MOTHER, RN, WIFE AND FARMER. #Trump2020 #PATRIOTSRISE #BikersForTrump #deplorablesfortrump #nursesforTrump #Redwave #proudboys #MAGA #veteransfortrump",False,32.0,user_profile,False,173.0,130.0,130.0,False,False,False,9/1/20 2:20,2020-12-20 11:49:25.513571 UTC,94.0,8.0,False,False,60.0,False,61390c847fe3499f93f9b243c36fec2f,False,1.0,3450cafa8a9e46f99c2ceb964e24d26f,Mert1969,False,False,8,200,account exists,
60,7506601798994ff3a690711b3ee6038a,7506601798994ff3a690711b3ee6038a,[0],False,"#ReleaseTheKraken ,MAGA2020 ,III% SLAYER, Sydney Powell, #stopthesteal, Infowars,libertyhangout,Kaitlin Bennett, BacktheBlue. #proudboys #FAFO",False,467.0,user_profile,False,152.0,106.0,106.0,True,False,False,10/15/20 21:40,2020-12-22 09:09:44.921017 UTC,2000.0,4.0,False,False,110.0,False,4baa76d9812a47578e884e8cdc9c028a,False,1.0,7506601798994ff3a690711b3ee6038a,herculean67,False,False,11,200,account exists,
63,d1924711bf6b432cac1f5b41d510b2c5,d1924711bf6b432cac1f5b41d510b2c5,[],False,"God, fam&����! #45 is the best Pres in my lifetime! CSA Survivor❣️ CHRIST IS KING
ProudBoys R Patriots! 1st & 2nd A!
IF U DON’T ❤️ FREEDOM, PERSONAL RESPONSIBILITY & SM GOVT; GTHO OF THE COUNTRY!",False,117.0,user_profile,False,1100.0,174.0,174.0,False,False,False,2/5/20 1:07,2020-12-20 03:53:31.262486 UTC,669.0,4.0,False,False,56.0,False,1b395080f67a4d8bad1f81c7527e29bb,False,,d1924711bf6b432cac1f5b41d510b2c5,SophiaGrace,False,False,11,200,account exists,
64,22d67cdbb46f418f8b58d23d9e3323cf,22d67cdbb46f418f8b58d23d9e3323cf,[0],False,"Welcome to the RAGE PARTY! 
~ Maga ~ Brexit `~ Lexit ~ Blexit ~ Sigma Nation ~ Axe Truth Nation ~ Truther Talkers ~ Amer-i-CAAANS ~ Recall Newsom 2020 ~ Recall Sisolak 2020 - Proud Boys ~ 
———————————",False,332.0,user_profile,False,3500.0,838.0,838.0,True,False,False,8/10/20 13:16,2020-12-21 03:41:57.119907 UTC,282.0,107.0,False,False,357.0,False,2d86e4eea7da48a09c14148c601a450f,False,,22d67cdbb46f418f8b58d23d9e3323cf,Redpillrage,False,False,11,200,account exists,
65,ff2f88cee7424ffd86da2ac32f44fa77,ff2f88cee7424ffd86da2ac32f44fa77,[0],False,Served --Born & Raised Murphy Texas 2nd Degree Proud Boy,False,233.0,user_profile,False,334.0,272.0,272.0,True,False,False,7/22/20 12:41,2020-12-22 02:03:18.510415 UTC,298.0,82.0,False,False,293.0,False,1e062cf5c04f49b19975768844dbb50c,False,,ff2f88cee7424ffd86da2ac32f44fa77,Spartan214,False,False,10,200,account exists,
66,4335b2b54b06490dbbdb553f01557859,4335b2b54b06490dbbdb553f01557859,[0],False,Life long conservative...53 years old...avid trump supporter...christian...love the usa...support law and order...support our constitution and its literal not interpreted meaning..proud boys supporter,False,169.0,user_profile,False,483.0,597.0,597.0,True,False,False,10/1/20 20:42,2020-12-22 11:08:47.827023 UTC,648.0,24.0,False,False,444.0,False,7d42a20d11b449feb436771f0cf45a6a,False,1.0,4335b2b54b06490dbbdb553f01557859,Marshallscott11,False,False,15,200,account exists,
67,065c985677e6489ca933e671e8d7ad2c,065c985677e6489ca933e671e8d7ad2c,[],False,"| 5280 Denver Chapter 2nd° Proud Boy |
| MAGA | Pedos get Lynched |
| Father | Husband | 
| 2A | 17 | FAFO |",False,82.0,user_profile,False,160.0,41.0,41.0,False,False,False,6/10/20 2:57,2020-12-20 13:57:46.333142 UTC,13.0,5.0,False,False,72.0,False,d9f05d9da31c478ba96d2e45f35e6a32,False,,065c985677e6489ca933e671e8d7ad2c,ProudOfThisBoy,False,False,14,200,account exists,
68,014aac8f26ca41fb986889b1bed587ff,014aac8f26ca41fb986889b1bed587ff,[],False,Truth seeker/����trumpette/��proudboys/(true)history buff/make america classy again ladies/make families strong again men/God first/Pray everyday/Give thanks/protect the weak/feed the hungry/be love��,False,104.0,user_profile,False,209.0,132.0,132.0,False,False,False,11/6/20 6:33,2020-12-22 15:59:24.963156 UTC,892.0,15.0,False,False,686.0,False,e1ab81a61a8943c08952fc5a3f7ea757,False,1.0,014aac8f26ca41fb986889b1bed587ff,Stormatha,False,False,9,200,account exists,
70,6275508cd54245babe03e22bc7346692,6275508cd54245babe03e22bc7346692,[],False,"Non-binary and Omnisexual 
Fuck Trump, Fuck racism,
Fuck Proud Boys, Fuck yall lmao����
I’m gay as fuck so don’t try me ����️‍��",False,0.0,user_profile,False,21.0,39.0,39.0,False,False,False,10/13/20 20:32,2020-12-20 23:18:38.002598 UTC,0.0,0.0,False,False,1.0,False,d69268e47cdf43818701a44d4a44981d,False,1.0,6275508cd54245babe03e22bc7346692,MiloBitch,False,False,9,200,account exists,
71,6988f388a71a4e2da6e758bfada8ce41,6988f388a71a4e2da6e758bfada8ce41,[0],False,"Christian Conservative Nationalist. Antifa Head Splitter. Proud Father of 2. A real woman holds my heart (yeah, YOU, milady, even still) Proud Boy. Freemason. Patriot.",False,9.0,user_profile,False,52.0,158.0,158.0,True,False,False,10/12/20 9:50,2020-12-20 20:15:37.077811 UTC,32.0,1.0,False,False,24.0,False,67c4f9232b2c4cd7986d7e57dcc9b64c,False,1.0,6988f388a71a4e2da6e758bfada8ce41,MicahEL777,False,False,10,200,account exists,
78,c974c774d35649b2939395e45c3dbfdf,c974c774d35649b2939395e45c3dbfdf,[],False,"Born in NY, no longer in that Communist State ,”Thank God ” I’m a full blown Conservative Capitalist and very proud of it. Now Live in a RED STATE, Trust in God , Guns, and Trump2020, Proud boys,Qanon",False,2600.0,user_profile,False,978.0,18.0,18.0,False,False,False,7/6/20 22:12,2020-12-20 23:13:07.948101 UTC,4000.0,0.0,False,False,3800.0,False,a5156e3be44a4edfa2b6fd658535ed42,False,,c974c774d35649b2939395e45c3dbfdf,Gunrunner9mm,False,False,12,200,account exists,
79,376f8bb3c0bb2b9c15993ee1ec12eed2,376f8bb3c0bb2b9c15993ee1ec12eed2,[],False,"Proud boy! I am a proud western chauvinist, and I refuse to apologize for creating the modern world! 4th poyb ",False,3.0,user_profile,False,200.0,27.0,27.0,False,False,False,12/13/18 18:04,2020-12-20 01:46:25.753194 UTC,10.0,0.0,False,False,28.0,False,11f19e43fdd14108a1f423abf8bbd68d,False,,376f8bb3c0bb2b9c15993ee1ec12eed2,themac,False,False,6,200,account exists,
81,46ee38e486ac455ebaae2206ca240b43,46ee38e486ac455ebaae2206ca240b43,[],False,"Christ follower, Patriot, Wife, Proud boy Mom (soccer Mom/Military Mom) and Elisi to two❤️���� 
Sick of being censored and not allowed to search truth on my own. Over it #youtube #facebookcensorship",False,15.0,user_profile,False,18.0,26.0,26.0,False,False,False,7/29/20 18:51,2020-12-21 14:17:35.410184 UTC,36.0,1.0,False,False,17.0,False,6abaf0f315474886916c32de16d82309,False,,46ee38e486ac455ebaae2206ca240b43,Julietg7,False,False,8,200,account exists,
82,a3bfbb76501b43b78f8be4a72a9ea8b1,a3bfbb76501b43b78f8be4a72a9ea8b1,[],False,Father. Husband. Patriot. PROUDBOY,False,0.0,user_profile,False,16.0,25.0,25.0,False,False,False,11/8/20 20:46,2020-12-22 10:17:14.631667 UTC,0.0,5.0,False,False,9.0,False,3776518bd9d84243848dfc15b1801527,False,1.0,a3bfbb76501b43b78f8be4a72a9ea8b1,Reaper26,False,False,8,200,account exists,
89,5925083a14d343989732458c597e035e,5925083a14d343989732458c597e035e,[],False,What’s that noise? FUCK THE PROUD BOYS,False,0.0,user_profile,False,0.0,0.0,0.0,False,False,False,1/6/21 6:04,2021-01-08 08:03:23.125046 UTC,0.0,0.0,False,False,0.0,False,,False,1.0,5925083a14d343989732458c597e035e,lolJK101,False,False,8,200,account exists,
90,c25764bfddf448269c54f73cc2e4d887,c25764bfddf448269c54f73cc2e4d887,[],False,Proud Wife and Proud Boy-Mom,False,0.0,user_profile,False,0.0,11.0,11.0,False,False,False,1/6/21 20:12,2021-01-08 06:33:43.331178 UTC,0.0,0.0,False,False,1.0,False,8343c9fb38db49fda752d323f343dcfe,False,1.0,c25764bfddf448269c54f73cc2e4d887,MrsGigliotti,False,False,12,200,account exists,
91,4f8136de756f45acb313faf3a712fcd0,4f8136de756f45acb313faf3a712fcd0,[],False,"Here for the free speech. Listening to both proud boys, antifa, etc. Didn't say agreeing, just listening",False,6.0,user_profile,False,2.0,34.0,34.0,False,False,False,11/6/20 12:49,2020-12-22 03:02:26.331742 UTC,89.0,0.0,False,False,1.0,False,,False,1.0,4f8136de756f45acb313faf3a712fcd0,Kevinjones10,False,False,12,200,account exists,
92,21cd8a433f8f43d4bb06207a1411048c,21cd8a433f8f43d4bb06207a1411048c,[],False,Proudboy 2A or no 1A WWG1WGA.,False,1.0,user_profile,False,2.0,10.0,10.0,False,False,False,11/21/20 21:23,2020-12-21 15:22:37.830847 UTC,4.0,0.0,False,False,2.0,False,1ffe64535fc54bccab1922117bb9ca0b,False,1.0,21cd8a433f8f43d4bb06207a1411048c,User496,False,False,7,200,account exists,
93,27558e14a355461b845693cc58850d45,27558e14a355461b845693cc58850d45,[],False,"Once a California Girl now LOVING her Texas World!!! I wasn’t born here but I got here as fast as I could. 
Wife and PROUD boy mom!",False,0.0,user_profile,False,1.0,3.0,3.0,False,False,False,11/10/20 15:03,2020-12-21 23:34:02.990943 UTC,0.0,0.0,False,False,0.0,False,77d4a4f2968a49368bf755c0f5740ff0,False,1.0,27558e14a355461b845693cc58850d45,ClassicGirl75,False,False,13,200,account exists,
95,b7ba91d973674cefad9cdd1655a645b3,b7ba91d973674cefad9cdd1655a645b3,[],False,"Husband, father 

2nd degree brick city proud boy

Badass mutha fucker",False,6.0,user_profile,False,14.0,29.0,29.0,False,False,False,11/7/20 3:00,2020-12-22 12:16:57.812798 UTC,144.0,3.0,False,False,127.0,False,d6a127e1c8e348d8b980dd85cea9eb10,False,1.0,b7ba91d973674cefad9cdd1655a645b3,Travisty81,False,False,10,200,account exists,
96,bfa9a6c71e5b45c285e1607ab481676b,bfa9a6c71e5b45c285e1607ab481676b,[],False,"I used to walk around blissfully ignorant. As we live in the greatest country in the world, we have become perpetual advertisements.  I am choosing to be more thoughtful in the depth of my sphere of influence.  I aim to align myself with people,groups,brands that support the ideals this country was founded on and that I strive to live by. As I am becoming more thoughtful in my approach- I want to align myself with the Proud Boys!  I am a proud Western chauvinist and I will not apologize for my place in he modern world!",False,0.0,user_profile,False,8.0,0.0,0.0,False,False,False,8/21/19 3:40,2020-12-21 16:27:58.412053 UTC,0.0,0.0,False,False,0.0,False,,False,,bfa9a6c71e5b45c285e1607ab481676b,TexasMade817,False,False,12,200,account exists,
98,b9a7615f02dc4eaf8ddb13746d3ac87a,b9a7615f02dc4eaf8ddb13746d3ac87a,[],False,Politics & International Relations Student / Political Analyst / 4th Degree Proud Boy,False,0.0,user_profile,False,8.0,12.0,12.0,False,False,False,7/1/20 7:21,2020-12-21 23:37:51.20862 UTC,0.0,0.0,False,False,2.0,False,cb4661d8505d4e3fa1a09c4a2567df66,False,,b9a7615f02dc4eaf8ddb13746d3ac87a,MrMapplethorpe,False,False,14,200,account exists,
100,e368b9855f0a45918329b5fab9cbc990,e368b9855f0a45918329b5fab9cbc990,[],False,2nd Degree Proud Boy,False,2.0,user_profile,False,7.0,31.0,31.0,False,False,False,7/26/20 4:18,2020-12-20 06:02:10.582803 UTC,24.0,0.0,False,False,12.0,False,4947055adea344d1bbbb1e2b2112cdb0,False,,e368b9855f0a45918329b5fab9cbc990,Keane0603,False,False,9,200,account exists,
101,90677bedb1e648648deef4dfb72e5c3f,90677bedb1e648648deef4dfb72e5c3f,[],False,"PROUD BOY That Refuses to apologize for the creation of the modern world!
VA chapter .this fight FAR FROM OVER! Wrap up what you don’t want broke up! 
����real men wear black and yellow..",False,20.0,user_profile,False,7.0,5.0,5.0,False,False,False,11/28/20 22:04,2020-12-20 14:44:34.938376 UTC,1.0,0.0,False,False,5.0,False,4651e8ed61ae486aa2472e15df416535,False,1.0,90677bedb1e648648deef4dfb72e5c3f,MADMANIRISH,False,False,11,200,account exists,
102,36e817fca6b34c34a66ff73f959ddd39,36e817fca6b34c34a66ff73f959ddd39,[],False,CNY Proud Boy. I’m a proud western chauvinist and I refuse to apologize for creating the modern world.,False,1.0,user_profile,False,10.0,21.0,21.0,False,False,False,11/15/20 0:27,2021-01-09 19:44:55.921896 UTC,4.0,3.0,False,False,3.0,False,c687542b04e64af8b0dcd986e37d57e3,False,1.0,36e817fca6b34c34a66ff73f959ddd39,AmanD,False,False,5,200,account exists,
106,3a0eac7aecbf4294bd9b9f60d2e63c1c,3a0eac7aecbf4294bd9b9f60d2e63c1c,[],False,"The west is the best and America is the best of the west. -Gavin McInnes

Pro: 2A, small government, Catholic, free speech, life, isolationist, Phat ass.

Anti: light beer
#trump2020 #freeproudboys",False,2.0,user_profile,False,17.0,41.0,41.0,False,False,False,7/8/20 23:31,2020-12-22 15:13:35.380208 UTC,17.0,2.0,False,False,15.0,False,347405042e6a4e939dcd7ddd88fd4be1,False,,3a0eac7aecbf4294bd9b9f60d2e63c1c,BScott007,False,False,9,200,account exists,
113,1e8c4bfe32a84706b810769f4468843f,1e8c4bfe32a84706b810769f4468843f,[],False,"100% All American pale beef. Boog boi, Proud Boy, 3%er, Zonian. Moderately active and will always Echo that which needs to be said. this is our country and too much was layed before us to give it up.",False,41.0,user_profile,False,641.0,788.0,788.0,False,False,False,7/6/20 17:40,2021-01-11 06:36:20.667134 UTC,314.0,0.0,False,False,216.0,False,51ecfe88e1e4480e864e4cb83dd05bb6,False,,1e8c4bfe32a84706b810769f4468843f,Nosdivad,False,False,8,200,account exists,
114,1e8c4bfe32a84706b810769f4468843f,1e8c4bfe32a84706b810769f4468843f,[],False,"100% All American pale beef. Boog boi, Proud Boy, 3%er, Zonian. Moderately active and will always Echo that which needs to be said. this is our country and too much was layed before us to give it up.",False,41.0,user_profile,False,641.0,788.0,788.0,False,False,False,7/6/20 17:40,2021-01-11 06:36:20.667134 UTC,314.0,0.0,False,False,216.0,False,51ecfe88e1e4480e864e4cb83dd05bb6,False,,1e8c4bfe32a84706b810769f4468843f,Nosdivad,False,False,8,200,account exists,
115,1e8c4bfe32a84706b810769f4468843f,1e8c4bfe32a84706b810769f4468843f,[],False,"100% All American pale beef. Boog boi, Proud Boy, 3%er, Zonian. Moderately active and will always Echo that which needs to be said. this is our country and too much was layed before us to give it up.",False,41.0,user_profile,False,641.0,788.0,788.0,False,False,False,7/6/20 17:40,2021-01-11 06:36:20.667134 UTC,314.0,0.0,False,False,216.0,False,51ecfe88e1e4480e864e4cb83dd05bb6,False,,1e8c4bfe32a84706b810769f4468843f,Nosdivad,False,False,8,200,account exists,
116,1e8c4bfe32a84706b810769f4468843f,1e8c4bfe32a84706b810769f4468843f,[],False,"100% All American pale beef. Boog boi, Proud Boy, 3%er, Zonian. Moderately active and will always Echo that which needs to be said. this is our country and too much was layed before us to give it up.",False,41.0,user_profile,False,641.0,788.0,788.0,False,False,False,7/6/20 17:40,2021-01-11 06:36:20.667134 UTC,314.0,0.0,False,False,216.0,False,51ecfe88e1e4480e864e4cb83dd05bb6,False,,1e8c4bfe32a84706b810769f4468843f,Nosdivad,False,False,8,200,account exists,
118,69681f7527d24f4fa0b72a9bbb8b98b9,69681f7527d24f4fa0b72a9bbb8b98b9,[0],False,MarylandDC Proudboy,False,17.0,user_profile,False,178.0,48.0,48.0,True,False,False,8/23/20 23:42,2020-12-22 09:47:41.782666 UTC,74.0,5.0,False,False,19.0,False,d4512cd145a948ae8c28a4e734704b4e,False,2.0,69681f7527d24f4fa0b72a9bbb8b98b9,DontEatPeople,False,False,13,200,account exists,
120,3a5a9252c0504631bdc94932bac7392f,3a5a9252c0504631bdc94932bac7392f,[],False,Proud Republican. Trump lover. ����❤️ American. Hard working and lover of the proud boys!!,False,29.0,user_profile,False,332.0,468.0,468.0,False,False,False,11/18/20 13:53,2020-12-22 13:50:00.629699 UTC,541.0,1.0,False,False,444.0,False,f358127f2deb4e9ebdcfbc39ac2aad3a,False,1.0,3a5a9252c0504631bdc94932bac7392f,Linniepinnie,False,False,12,200,account exists,
123,6e086e77e05a48f79677a7da9d91dcaa,6e086e77e05a48f79677a7da9d91dcaa,[],False,Do not pray for easy lives ...Pray to be a stronger man -Family- Country .. The west is the best..Immigration Without Assimilation Is an Invasion... Proud Boy - Western Chauvinist- Christian Trump2020,False,116.0,user_profile,False,182.0,77.0,77.0,False,False,False,7/15/20 19:18,2020-12-22 02:26:37.316055 UTC,116.0,14.0,False,False,68.0,False,b3e63e10a8a842c3b966ff875022194c,False,,6e086e77e05a48f79677a7da9d91dcaa,MustacheMan,False,False,11,200,account exists,
