username,error_code,bio,metrics,followers_count,following_count,tweet_count,,,,,,,,,
deusvult1911,200,"SEMPER LIBERTATIS, DEUS VULT. I love my GOD, my FAMILY, and my FREEDOM. Master of Finance. The very thought of losing is hateful to Americans. - General Patton","{'followers_count': 1027, 'following_count': 2118, 'tweet_count': 23230, 'listed_count': 34}",1027,2118,34,,,,,,,,,
jirvana,200,eスポ初心者🔰,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 17, 'listed_count': 0}",0,0,0,,,,,,,,,
Mike5150,200,,"{'followers_count': 2, 'following_count': 13, 'tweet_count': 3, 'listed_count': 0}",2,13,0,,,,,,,,,
GrayBeard57,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
Aubrprncess,200,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 0, 'listed_count': 0}",0,1,0,,,,,,,,,
Dr4gongirl319,200,Single Mom of 3. starting my life over,"{'followers_count': 25, 'following_count': 304, 'tweet_count': 197, 'listed_count': 0}",25,304,0,,,,,,,,,
Pinhead123,200,,"{'followers_count': 171, 'following_count': 1812, 'tweet_count': 3756, 'listed_count': 4}",171,1812,4,,,,,,,,,
PatriotFish1776,200,"Father, Husband, Patriot","{'followers_count': 8, 'following_count': 4, 'tweet_count': 5, 'listed_count': 0}",8,4,0,,,,,,,,,
CloutKyle,200,LOST IN THE MARINA,"{'followers_count': 2, 'following_count': 32, 'tweet_count': 2, 'listed_count': 0}",2,32,0,,,,,,,,,
AaronSlife,200,,"{'followers_count': 0, 'following_count': 4, 'tweet_count': 1, 'listed_count': 0}",0,4,0,,,,,,,,,
TeeRoyGarrett,200,,"{'followers_count': 22, 'following_count': 55, 'tweet_count': 729, 'listed_count': 1}",22,55,1,,,,,,,,,
Tiberious777,200,,"{'followers_count': 0, 'following_count': 5, 'tweet_count': 0, 'listed_count': 0}",0,5,0,,,,,,,,,
DestroyAntifa,200,BadAss PATRIOT tired of AntiFa Liberals Tell it like it is Attack those who attack Me US &Trump say what you won't #Trump #MAGA #Ifightback #DontFuckWMeLIberals,"{'followers_count': 14, 'following_count': 112, 'tweet_count': 14, 'listed_count': 0}",14,112,0,,,,,,,,,
TheNobleHeart,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
BreeMarie,200,,"{'followers_count': 254, 'following_count': 126, 'tweet_count': 883, 'listed_count': 3}",254,126,3,,,,,,,,,
Baierme2,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 1, 'listed_count': 0}",0,0,0,,,,,,,,,
BEAUSHANNON,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 4, 'listed_count': 0}",1,0,0,,,,,,,,,
hparkin,200,,"{'followers_count': 0, 'following_count': 6, 'tweet_count': 0, 'listed_count': 0}",0,6,0,,,,,,,,,
SavingTheWest,200,MAGA from day 1. Christian. Geopolitical analyst/commentator. Trump greatest President in history.,"{'followers_count': 222, 'following_count': 555, 'tweet_count': 12897, 'listed_count': 0}",222,555,0,,,,,,,,,
WeThePeople777,200,,"{'followers_count': 2, 'following_count': 5, 'tweet_count': 1, 'listed_count': 0}",2,5,0,,,,,,,,,
Grimm,200,"Everything Michael Grimm. Not the show ""Grimm"" or the Fairy Tale writers.","{'followers_count': 446, 'following_count': 145, 'tweet_count': 628, 'listed_count': 7}",446,145,7,,,,,,,,,
HolliwoodCole,200,"Little bit of mean, and cynical.","{'followers_count': 0, 'following_count': 1, 'tweet_count': 1, 'listed_count': 0}",0,1,0,,,,,,,,,
valeriek,200,,"{'followers_count': 10, 'following_count': 15, 'tweet_count': 14, 'listed_count': 0}",10,15,0,,,,,,,,,
PatriotMaker,200,"Instructor and training counselor who teaches people of our great nation gun safety, self defense shooting, situational awareness and everything in between.","{'followers_count': 4, 'following_count': 18, 'tweet_count': 13, 'listed_count': 1}",4,18,1,,,,,,,,,
Spazzolini,200,,"{'followers_count': 0, 'following_count': 4, 'tweet_count': 0, 'listed_count': 0}",0,4,0,,,,,,,,,
JohnnyAmerica3,200,American,"{'followers_count': 0, 'following_count': 2, 'tweet_count': 0, 'listed_count': 0}",0,2,0,,,,,,,,,
RoniCox,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",1,0,0,,,,,,,,,
Dadeoo,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",1,0,0,,,,,,,,,
PBTO,200,,"{'followers_count': 10, 'following_count': 1, 'tweet_count': 3, 'listed_count': 0}",10,1,0,,,,,,,,,
OrangeCheeto,200,matthew lee espinosa is my freaking life and i cant live without him.!!!!!!,"{'followers_count': 20, 'following_count': 193, 'tweet_count': 102, 'listed_count': 1}",20,193,1,,,,,,,,,
MoreTrue,200,,"{'followers_count': 0, 'following_count': 9, 'tweet_count': 18, 'listed_count': 0}",0,9,0,,,,,,,,,
Angelvengen,200,,"{'followers_count': 13, 'following_count': 1, 'tweet_count': 38, 'listed_count': 0}",13,1,0,,,,,,,,,
lurker00,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
JaySee2230,200,,"{'followers_count': 0, 'following_count': 2, 'tweet_count': 1, 'listed_count': 0}",0,2,0,,,,,,,,,
Dcollins85,200,,"{'followers_count': 1, 'following_count': 3, 'tweet_count': 0, 'listed_count': 0}",1,3,0,,,,,,,,,
SunriseBun,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
JustinWaynee,200,Bass Fishing. CrossFit. Volleyball. Clemson University Graduate '16 Former #Bonnaroovian,"{'followers_count': 160, 'following_count': 280, 'tweet_count': 5812, 'listed_count': 2}",160,280,2,,,,,,,,,
QRavenQ,200,歯車ラブ,"{'followers_count': 236, 'following_count': 610, 'tweet_count': 14490, 'listed_count': 5}",236,610,5,,,,,,,,,
Templar76,200,,"{'followers_count': 0, 'following_count': 20, 'tweet_count': 0, 'listed_count': 0}",0,20,0,,,,,,,,,
Samtheman22,200,,"{'followers_count': 10, 'following_count': 92, 'tweet_count': 1479, 'listed_count': 0}",10,92,0,,,,,,,,,
NiceKillGirl,200,just chilling,"{'followers_count': 35, 'following_count': 107, 'tweet_count': 148, 'listed_count': 0}",35,107,0,,,,,,,,,
tarikshabazz,200,ELT,"{'followers_count': 96, 'following_count': 103, 'tweet_count': 1221, 'listed_count': 0}",96,103,0,,,,,,,,,
Huffordaj,200,,"{'followers_count': 1, 'following_count': 3, 'tweet_count': 8, 'listed_count': 0}",1,3,0,,,,,,,,,
Josephpeka,200,,"{'followers_count': 4, 'following_count': 10, 'tweet_count': 3, 'listed_count': 0}",4,10,0,,,,,,,,,
TravisN,200,say it don’t spray it,"{'followers_count': 217, 'following_count': 836, 'tweet_count': 6276, 'listed_count': 4}",217,836,4,,,,,,,,,
BigShow6,200,,"{'followers_count': 11, 'following_count': 129, 'tweet_count': 41, 'listed_count': 0}",11,129,0,,,,,,,,,
Rayzor67,200,,"{'followers_count': 2, 'following_count': 3, 'tweet_count': 0, 'listed_count': 0}",2,3,0,,,,,,,,,
ChrisJolley,200,"Loving, fun, thoughtful, caring, dedicated, loyal, intelligent, funny, sweet, charming, beautiful, charismatic, talented. Not necessarily in that order.","{'followers_count': 25, 'following_count': 133, 'tweet_count': 33, 'listed_count': 0}",25,133,0,,,,,,,,,
NavyCorpsman69,200,,"{'followers_count': 7, 'following_count': 25, 'tweet_count': 4, 'listed_count': 0}",7,25,0,,,,,,,,,
Jojofry129,200,,"{'followers_count': 0, 'following_count': 2, 'tweet_count': 4, 'listed_count': 0}",0,2,0,,,,,,,,,
PitbullPB,200,pit bullpb,"{'followers_count': 71, 'following_count': 248, 'tweet_count': 734, 'listed_count': 0}",71,248,0,,,,,,,,,
LisaHK,200,"History-maker, world-changer, gate-keeper","{'followers_count': 347, 'following_count': 184, 'tweet_count': 7260, 'listed_count': 5}",347,184,5,,,,,,,,,
PrincipeWayne,200,,"{'followers_count': 28, 'following_count': 89, 'tweet_count': 97, 'listed_count': 0}",28,89,0,,,,,,,,,
louiebee,200,,"{'followers_count': 43, 'following_count': 32, 'tweet_count': 4, 'listed_count': 0}",43,32,0,,,,,,,,,
Pitbull217,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
Grtgram,200,,"{'followers_count': 1, 'following_count': 57, 'tweet_count': 35, 'listed_count': 0}",1,57,0,,,,,,,,,
Chrisward30,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
Letfreedomping,200,Check out our YouTube https://t.co/dqn04UbJIn,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Gun enthusiasts, 2nd amendment advocates, and somewhat slow and special...",LetFreedomPing,"{'followers_count': 23, 'following_count': 84, 'tweet_count': 64, 'listed_count': 0}",84,0,,,,,,,,,,,
ArizonaTed,200,I am retired and single work in an art gallery in sedona  I am a photographer,"{'followers_count': 5, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",5,0,0,,,,,,,,,
Dicklikejesus,200,,"{'followers_count': 5, 'following_count': 1, 'tweet_count': 1, 'listed_count': 0}",5,1,0,,,,,,,,,
NobleViking,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
Spanky6146,200,,"{'followers_count': 11, 'following_count': 86, 'tweet_count': 13, 'listed_count': 0}",11,86,0,,,,,,,,,
RegPenney1996,200,🍺🇦🇺,"{'followers_count': 224, 'following_count': 519, 'tweet_count': 7725, 'listed_count': 1}",224,519,1,,,,,,,,,
FRA46,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",1,0,0,,,,,,,,,
SupportTheNRA,200,"NRA Recruiter, Private Investigator, Retired Cop","{'followers_count': 34, 'following_count': 0, 'tweet_count': 9, 'listed_count': 2}",34,0,2,,,,,,,,,
PaulSR,200,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 12, 'listed_count': 0}",0,1,0,,,,,,,,,
Alex305,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",1,0,0,,,,,,,,,
Leonidas1970,200,director creativo,"{'followers_count': 15, 'following_count': 78, 'tweet_count': 97, 'listed_count': 1}",15,78,1,,,,,,,,,
xXxKarmaxXx,200,,"{'followers_count': 2, 'following_count': 0, 'tweet_count': 1, 'listed_count': 0}",2,0,0,,,,,,,,,
NickCianciolo,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",1,0,0,,,,,,,,,
Christopher2280,200,,"{'followers_count': 384, 'following_count': 41, 'tweet_count': 3195, 'listed_count': 0}",384,41,0,,,,,,,,,
JulieReichwein,200,"Julie Reichwein and her father own and operate Reichwein Ranches, a 14,000-acre development company that sells owner-financed land tracts.","{'followers_count': 236, 'following_count': 0, 'tweet_count': 57, 'listed_count': 0}",236,0,0,,,,,,,,,
Thegreat107,200,,"{'followers_count': 5, 'following_count': 0, 'tweet_count': 61, 'listed_count': 0}",5,0,0,,,,,,,,,
Dunebugger,200,,"{'followers_count': 1, 'following_count': 8, 'tweet_count': 3, 'listed_count': 0}",1,8,0,,,,,,,,,
Joshdob,200,,"{'followers_count': 8, 'following_count': 0, 'tweet_count': 0, 'listed_count': 1}",8,0,1,,,,,,,,,
HJohns,200,,"{'followers_count': 23, 'following_count': 160, 'tweet_count': 5, 'listed_count': 1}",23,160,1,,,,,,,,,
Enegue,200,,"{'followers_count': 2, 'following_count': 2, 'tweet_count': 0, 'listed_count': 0}",2,2,0,,,,,,,,,
Alcom4,200,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 2, 'listed_count': 0}",0,1,0,,,,,,,,,
Roeder,200,"#Logistics professional in #Beira, #Mozambique. Open minded and politically incorrect. Despises #Android and #fatalism. Likes #potatoes and containerized goods.","{'followers_count': 32, 'following_count': 125, 'tweet_count': 131, 'listed_count': 0}",32,125,0,,,,,,,,,
Robininthehood,200,,"{'followers_count': 0, 'following_count': 42, 'tweet_count': 0, 'listed_count': 0}",0,42,0,,,,,,,,,
bozo93,200,,"{'followers_count': 6, 'following_count': 349, 'tweet_count': 56, 'listed_count': 0}",6,349,0,,,,,,,,,
stevirobinson,200,i am me and if u dont like me been me then do 1 SIMPLE !!!! Ndubz ;),"{'followers_count': 3, 'following_count': 18, 'tweet_count': 6, 'listed_count': 0}",3,18,0,,,,,,,,,
Normanator69,200,,"{'followers_count': 0, 'following_count': 2, 'tweet_count': 0, 'listed_count': 0}",0,2,0,,,,,,,,,
EzraW,200,blogger,"{'followers_count': 7, 'following_count': 78, 'tweet_count': 12, 'listed_count': 0}",7,78,0,,,,,,,,,
Exilio,200,,"{'followers_count': 34, 'following_count': 23, 'tweet_count': 120, 'listed_count': 0}",34,23,0,,,,,,,,,
Rogueprincess,200,Beautiful young #findom #princess #goddess for #paypigs #cashmeets #cashslaves #walletslaves,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
http://t.co/i4iBcAGvQt?,RoguePrincess,"{'followers_count': 2, 'following_count': 16, 'tweet_count': 5, 'listed_count': 0}",16,0,,,,,,,,,,,
TheGodfather420,200,,"{'followers_count': 0, 'following_count': 2, 'tweet_count': 13, 'listed_count': 0}",0,2,0,,,,,,,,,
Bobbypickles,200,,"{'followers_count': 0, 'following_count': 71, 'tweet_count': 25, 'listed_count': 0}",0,71,0,,,,,,,,,
JackTheToad,200,,"{'followers_count': 2, 'following_count': 1, 'tweet_count': 0, 'listed_count': 0}",2,1,0,,,,,,,,,
Goper,200,,"{'followers_count': 1, 'following_count': 6, 'tweet_count': 4, 'listed_count': 0}",1,6,0,,,,,,,,,
NovelSIn,200,,"{'followers_count': 0, 'following_count': 4, 'tweet_count': 0, 'listed_count': 0}",0,4,0,,,,,,,,,
Will25,200,,"{'followers_count': 2, 'following_count': 0, 'tweet_count': 1, 'listed_count': 0}",2,0,0,,,,,,,,,
BasedgodJon,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
